0.46	0.00005
0.48	0.0001
0.51	0.0002
0.53	0.0003
0.54	0.0004
0.55	0.0005
0.56	0.0006
0.57	0.0007
0.57	0.0008
0.58	0.0009
0.58	0.001
0.587	0.0011
0.59	0.0012
0.593	0.0013
0.597	0.0014
0.6	    0.0015
0.603	0.0016
0.606	0.0017
0.609	0.0018
0.612	0.0019
0.614	0.002
0.59	0.00121212
0.601	0.00151515
0.608	0.00181818
0.616	0.00212121
0.622	0.00242424
0.628	0.00272727
0.633	0.0030303
0.638	0.00333333
0.642	0.00363636
0.645	0.00393939
0.649	0.00424242
0.652	0.00454545
0.655	0.00484848
0.658	0.00515151
0.66	0.00545454
0.663	0.00575757
0.665	0.0060606
